state,fips,county,pop2010,latitude,longitude
AL,01001,Autauga County,54571,32.536382,-86.64449
AL,01003,Baldwin County,182265,30.659218,-87.746067
AL,01005,Barbour County,27457,31.87067,-85.405456
AL,01007,Bibb County,22915,33.015893,-87.127148
AL,01009,Blount County,57322,33.977448,-86.567246
AL,01011,Bullock County,10914,32.101759,-85.717261
AL,01013,Butler County,20947,31.751667,-86.681969
AL,01015,Calhoun County,118572,33.771706,-85.822513
AL,01017,Chambers County,34215,32.917943,-85.391812
AL,01019,Cherokee County,25989,34.069515,-85.654242
AL,01021,Chilton County,43643,32.854059,-86.726627
AL,01023,Choctaw County,13859,31.991008,-88.248887
AL,01025,Clarke County,25833,31.685521,-87.818624
AL,01027,Clay County,13932,33.267809,-85.862051
AL,01029,Cleburne County,14972,33.671981,-85.516109
AL,01031,Coffee County,49948,31.402183,-85.989201
AL,01033,Colbert County,54428,34.703112,-87.801457
AL,01035,Conecuh County,13228,31.428292,-86.992029
AL,01037,Coosa County,11539,32.931445,-86.243482
AL,01039,Covington County,37765,31.243987,-86.448721
AL,01041,Crenshaw County,13906,31.732826,-86.319222
AL,01043,Cullman County,80406,34.131923,-86.869267
AL,01045,Dale County,50251,31.430654,-85.609476
AL,01047,Dallas County,43820,32.33354,-87.114356
AL,01049,DeKalb County,71109,34.460929,-85.803992
AL,01051,Elmore County,79303,32.597229,-86.142738
AL,01053,Escambia County,38319,31.121747,-87.168429
AL,01055,Etowah County,104430,34.047638,-86.03442
AL,01057,Fayette County,17241,33.732249,-87.752049
AL,01059,Franklin County,31704,34.441988,-87.842815
AL,01061,Geneva County,26790,31.090866,-85.824346
AL,01063,Greene County,9045,32.844497,-87.9642
AL,01065,Hale County,15760,32.752796,-87.623061
AL,01067,Henry County,17302,31.516978,-85.239971
AL,01069,Houston County,101547,31.158193,-85.296398
AL,01071,Jackson County,53227,34.763522,-85.9774
AL,01073,Jefferson County,658466,33.553444,-86.896536
AL,01075,Lamar County,14564,33.787085,-88.087431
AL,01077,Lauderdale County,92709,34.904122,-87.650997
AL,01079,Lawrence County,34339,34.529776,-87.321865
AL,01081,Lee County,140247,32.604064,-85.353048
AL,01083,Limestone County,82782,34.810239,-86.981399
AL,01085,Lowndes County,11299,32.147888,-86.650586
AL,01087,Macon County,21452,32.387027,-85.692887
AL,01089,Madison County,334811,34.764238,-86.55108
AL,01091,Marengo County,21027,32.247591,-87.791091
AL,01093,Marion County,30776,34.138219,-87.881551
AL,01095,Marshall County,93019,34.309564,-86.321668
AL,01097,Mobile County,412992,30.684573,-88.196568
AL,01099,Monroe County,23068,31.580332,-87.383266
AL,01101,Montgomery County,229363,32.20365,-86.203831
AL,01103,Morgan County,119490,34.454484,-86.846402
AL,01105,Perry County,10591,32.639005,-87.293827
AL,01107,Pickens County,19746,33.296808,-88.096878
AL,01109,Pike County,32899,31.798726,-85.941997
AL,01111,Randolph County,22913,33.296475,-85.464068
AL,01113,Russell County,52947,32.289811,-85.18698
AL,01115,St. Clair County,83593,33.712963,-86.315663
AL,01117,Shelby County,195085,33.262937,-86.678104
AL,01119,Sumter County,13763,32.597481,-88.200057
AL,01121,Talladega County,82291,33.369277,-86.175805
AL,01123,Tallapoosa County,41616,32.863369,-85.799553
AL,01125,Tuscaloosa County,194656,33.290202,-87.52286
AL,01127,Walker County,67023,33.791571,-87.301092
AL,01129,Washington County,17581,31.406974,-88.202078
AL,01131,Wilcox County,11670,31.99033,-87.302205
AL,01133,Winston County,24484,34.155888,-87.364147
AK,02013,Aleutians East Borough,3141,55.243722,-161.950749
AK,02016,Aleutians West Census Area,5561,51.959447,178.338813
AK,02020,Anchorage Municipality,291826,61.177549,-149.274354
AK,02050,Bethel Census Area,17013,60.928916,-160.15335
AK,02060,Bristol Bay Borough,997,58.731372,-156.986612
AK,02068,Denali Borough,1826,63.682732,-150.026719
AK,02070,Dillingham Census Area,4847,59.824816,-158.602233
AK,02090,Fairbanks North Star Borough,97581,64.690832,-146.599867
AK,02100,Haines Borough,2508,59.099905,-135.578102
AK,02105,Hoonah-Angoon Census Area,2150,58.076434,-135.1851
AK,02110,Juneau City and Borough,31275,58.3727,-134.178781
AK,02122,Kenai Peninsula Borough,55400,60.366373,-152.321973
AK,02130,Ketchikan Gateway Borough,13477,55.449938,-131.106685
AK,02150,Kodiak Island Borough,13592,57.553611,-153.630911
AK,02164,Lake and Peninsula Borough,1631,58.205065,-156.705188
AK,02170,Matanuska-Susitna Borough,88995,62.182174,-149.407974
AK,02180,Nome Census Area,9492,64.783686,-164.188912
AK,02185,North Slope Borough,9430,69.449343,-153.47283
AK,02188,Northwest Arctic Borough,7523,67.005066,-160.021086
AK,02195,Petersburg Census Area,3815,56.639612,-133.527996
AK,02198,Prince of Wales-Hyder Census Area,5559,55.415683,-132.875734
AK,02220,Sitka City and Borough,8881,57.142508,-135.332624
AK,02230,Skagway Municipality,968,59.575097,-135.335418
AK,02240,Southeast Fairbanks Census Area,7029,63.864997,-143.218628
AK,02261,Valdez-Cordova Census Area,9636,61.34984,-145.023141
AK,02270,Wade Hampton Census Area,7459,62.283174,-163.19095
AK,02275,Wrangell City and Borough,2369,56.279121,-132.040325
AK,02282,Yakutat City and Borough,662,59.999083,-140.239593
AK,02290,Yukon-Koyukuk Census Area,5588,65.376131,-151.576855
AZ,04001,Apache County,71518,35.385845,-109.493747
AZ,04003,Cochise County,131346,31.881793,-109.75412
AZ,04005,Coconino County,134421,35.829692,-111.773728
AZ,04007,Gila County,53597,33.789618,-110.81187
AZ,04009,Graham County,37220,32.931828,-109.87831
AZ,04011,Greenlee County,8437,33.238872,-109.242323
AZ,04012,La Paz County,20489,33.727625,-114.038793
AZ,04013,Maricopa County,3817117,33.346541,-112.495534
AZ,04015,Mohave County,200186,35.717705,-113.749689
AZ,04017,Navajo County,107449,35.390934,-110.320908
AZ,04019,Pima County,980263,32.128237,-111.783018
AZ,04021,Pinal County,375770,32.91891,-111.367257
AZ,04023,Santa Cruz County,47420,31.525904,-110.84519
AZ,04025,Yavapai County,211033,34.630044,-112.573745
AZ,04027,Yuma County,195751,32.773942,-113.910905
AR,05001,Arkansas County,19019,34.289573,-91.376547
AR,05003,Ashley County,21853,33.190835,-91.772267
